시간,더불어민주당 합계,국민의힘 오세훈,표차,우세정당,변동폭
07:26:30,2393453,2398128,4675,국민의힘,최초 측정
07:28:47,2393491,2398163,4672,국민의힘,-3 표
07:31:11,2395746,2401585,5839,국민의힘,"+1,167 표"
07:32:22,2397470,2403691,6221,국민의힘,+382 표
07:33:34,2402401,2410860,8459,국민의힘,"+2,238 표"
07:35:57,2407543,2419558,12015,국민의힘,"+3,556 표"
07:37:09,2411522,2421692,10170,국민의힘,"-1,845 표"
07:38:21,2414816,2426543,11727,국민의힘,"+1,557 표"
