시간,더불어민주당 합계,국민의힘 오세훈,표차,우세정당,변동폭
07:39:32,2414816,2426543,11727,국민의힘,최초 측정
07:44:19,2420960,2436821,15861,국민의힘,"+4,134 표"
07:49:06,2423576,2438297,14721,국민의힘,"-1,140 표"
